ordernumber,quantityordered,price,orderlinenumber,sales,orderdate,status,productline,msrp,productcode,customername,city,postalcode,country,territory,contactlastname,contactfirstname,dealsize,quarter,year,Phonenumber,Address
10194,42,100.0,11,4200.0,2003-11-25,Shipped,Classic Cars,214,101949,"Saveley & Henriot, Co.",Lyon,69004,France,EMEA,Saveley,Mary,Large,Q4,2003,78325555,2  rue du Commerce
10206,47,100.0,6,4700.0,2003-12-05,Shipped,Classic Cars,214,101949,Canadian Gift Exchange Network,Vancouver,321,Canada,,Tannamuri,Yoshi,Large,Q4,2003,6045553392,1900 Oak St 
10215,35,100.0,3,3500.0,2004-01-29,Shipped,Classic Cars,214,101949,West Coast Collectables Co.,Burbank,94019,USA,,Thompson,Steve,Medium,Q1,2004,3105553722,3675 Furth Circle
10228,29,100.0,2,2900.0,2004-03-10,Shipped,Classic Cars,214,101949,Cambridge Collectables Co.,Cambridge,51247,USA,,Tseng,Kyung,Medium,Q1,2004,6175555555,4658 Baden Av 
10245,34,100.0,9,3400.0,2004-05-04,Shipped,Classic Cars,214,101949,Super Scale Inc.,New Haven,97823,USA,,Murphy,Leslie,Medium,Q2,2004,2035559545,567 North Pendale Street
10258,32,100.0,6,3200.0,2004-06-15,Shipped,Classic Cars,214,101949,"Tokyo Collectables, Ltd",Minato-ku,1060032,Japan,JP,Shimamura,Akiko,Large,Q2,2004,81335840555,2-2-8 Roppongi
10270,21,100.0,9,2100.0,2004-07-19,Shipped,Classic Cars,214,101949,Souveniers And Things Co.,Chatswood,2067,Australia,APAC,Huxley,Adrian,Medium,Q3,2004,61294958555,Monitor Money Building  815 Pacific Hwy
10280,34,100.0,2,3400.0,2004-08-17,Shipped,Classic Cars,214,101949,Amica Models & Co.,Torino,10100,Italy,EMEA,Accorti,Paolo,Large,Q3,2004,0114988555,Via Monte Bianco 34
10291,37,100.0,11,3700.0,2004-09-08,Shipped,Classic Cars,214,101949,Scandinavian Gift Ideas,Boras,84467,Sweden,EMEA,Larsson,Maria,Large,Q3,2004,0695346555,?kergatan 24
10304,47,100.0,6,4700.0,2004-10-11,Shipped,Classic Cars,214,101949,Auto Assoc. & Cie.,Versailles,78000,France,EMEA,Tonini,Daniel,Large,Q4,2004,30598555,67  avenue de l'Europe
10312,48,100.0,3,4800.0,2004-10-21,Shipped,Classic Cars,214,101949,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Large,Q4,2004,4155551450,5677 Strong St 
10322,40,100.0,1,4000.0,2004-11-04,Shipped,Classic Cars,214,101949,Online Diecast Creations Co.,Nashua,62005,USA,,Young,Valarie,Medium,Q4,2004,6035558647,2304 Long Airport Avenue
10333,26,100.0,3,2600.0,2004-11-18,Shipped,Classic Cars,214,101949,Mini Wheels Co.,San Francisco,,USA,,Murphy,Julie,Medium,Q4,2004,6505555787,5557 North Pendale Street
10347,30,100.0,1,3000.0,2004-11-29,Shipped,Classic Cars,214,101949,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium,Q4,2004,0395204555,636 St Kilda Road
10357,32,100.0,10,3200.0,2004-12-10,Shipped,Classic Cars,214,101949,Mini Gifts Distributors Ltd.,San Rafael,97562,USA,,Nelson,Valarie,Medium,Q4,2004,4155551450,5677 Strong St 
10369,41,100.0,2,4100.0,2005-01-20,Shipped,Classic Cars,214,101949,Collectables For Less Inc.,Brickhaven,58339,USA,,Nelson,Allen,Medium,Q1,2005,6175558555,7825 Douglas Av 
10381,36,100.0,3,3600.0,2005-02-17,Shipped,Classic Cars,214,101949,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Large,Q1,2005,6505551386,7734 Strong St 
10391,24,100.0,4,2400.0,2005-03-09,Shipped,Classic Cars,214,101949,"Anna's Decorations, Ltd",North Sydney,2060,Australia,APAC,O'Hara,Anna,Small,Q1,2005,0299368555,201 Miller Street
10411,23,100.0,9,2300.0,2005-05-01,Shipped,Classic Cars,214,101949,Quebec Home Shopping Network,Montreal,113,Canada,,Fresnisre,Jean,Medium,Q2,2005,5145558054,43 rue St  Laurent
10424,50,100.0,6,5000.0,2005-05-31,In Process,Classic Cars,214,101949,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Large,Q2,2005,915559444,  Moralzarzal  86
10107,39,99.91,5,3896.49,2003-02-24,Shipped,Motorcycles,118,102016,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Medium,Q1,2003,2125557818,897 Long Airport Avenue
10120,29,96.34,3,2793.86,2003-04-29,Shipped,Motorcycles,118,102016,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Small,Q2,2003,0395204555,636 St Kilda Road
10134,27,100.0,5,2700.0,2003-07-01,Shipped,Motorcycles,118,102016,Lyon Souveniers,Paris,75508,France,EMEA,Da Cunha,Daniel,Medium,Q3,2003,33146627555,27 rue du Colonel Pierre Avia
10145,37,100.0,9,3700.0,2003-08-25,Shipped,Motorcycles,118,102016,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Medium,Q3,2003,6265557265,78934 Hillside Dr 
10159,37,100.0,17,3700.0,2003-10-10,Shipped,Motorcycles,118,102016,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Medium,Q4,2003,6505551386,7734 Strong St 
10168,27,100.0,4,2700.0,2003-10-28,Shipped,Motorcycles,118,102016,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Medium,Q4,2003,6505556809,9408 Furth Circle
10180,42,100.0,12,4200.0,2003-11-11,Shipped,Motorcycles,118,102016,Daedalus Designs Imports,Lille,59000,France,EMEA,Rance,Martine,Medium,Q4,2003,20161555,184  chausse de Tournai
10188,38,96.34,4,3660.92,2003-11-18,Shipped,Motorcycles,118,102016,Herkku Gifts,Bergen,5804,Norway,EMEA,Oeztan,Veysel,Medium,Q4,2003,4722673215,Drammen 121  PR 744 Sentrum
10201,24,100.0,5,2400.0,2003-12-01,Shipped,Motorcycles,118,102016,Mini Wheels Co.,San Francisco,,USA,,Murphy,Julie,Medium,Q4,2003,6505555787,5557 North Pendale Street
10210,23,100.0,2,2300.0,2004-01-12,Shipped,Motorcycles,118,102016,Osaka Souveniers Co.,Osaka,5300003,Japan,JP,Kentary,Mory,Medium,Q1,2004,810663425555,Dojima Avanza 4F  1-6-20 Dojima  Kita-ku
10223,47,100.0,4,4700.0,2004-02-20,Shipped,Motorcycles,118,102016,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium,Q1,2004,0395204555,636 St Kilda Road
10236,22,100.0,1,2200.0,2004-04-03,Shipped,Motorcycles,118,102016,Motor Mint Distributors Inc.,Philadelphia,71270,USA,,Hernandez,Rosa,Small,Q2,2004,2155559857,11328 Douglas Av 
10251,44,100.0,5,4400.0,2004-05-18,Shipped,Motorcycles,118,102016,Tekni Collectables Inc.,Newark,94019,USA,,Brown,William,Medium,Q2,2004,2015559350,7476 Moss Rd 
10263,40,100.0,5,4000.0,2004-06-28,Shipped,Motorcycles,118,102016,Gift Depot Inc.,Bridgewater,97562,USA,,King,Julie,Medium,Q2,2004,2035552570,25593 South Bay Ln 
10275,22,100.0,4,2200.0,2004-07-23,Shipped,Motorcycles,118,102016,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Small,Q3,2004,40678555,67  rue des Cinquante Otages
10285,47,100.0,9,4700.0,2004-08-27,Shipped,Motorcycles,118,102016,Marta's Replicas Co.,Cambridge,51247,USA,,Hernandez,Marta,Medium,Q3,2004,6175558555,39323 Spinnaker Dr 
10298,39,96.34,1,3757.26,2004-09-27,Shipped,Motorcycles,118,102016,Atelier graphique,Nantes,44000,France,EMEA,Schmitt,Carine,Medium,Q3,2004,40322555,54  rue Royale
10308,34,100.0,2,3400.0,2004-10-15,Shipped,Motorcycles,118,102016,Mini Classics,White Plains,24067,USA,,Frick,Steve,Medium,Q4,2004,9145554562,3758 North Pendale Street
10318,45,100.0,4,4500.0,2004-11-02,Shipped,Motorcycles,118,102016,Diecast Classics Inc.,Allentown,70267,USA,,Yu,Kyung,Medium,Q4,2004,2155551555,7586 Pompton St 
10329,20,100.0,2,2000.0,2004-11-15,Shipped,Motorcycles,118,102016,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Medium,Q4,2004,2125557818,897 Long Airport Avenue
10339,40,68.92,4,2756.8,2004-11-23,Shipped,Motorcycles,118,102016,"Tokyo Collectables, Ltd",Minato-ku,1060032,Japan,JP,Shimamura,Akiko,Small,Q4,2004,81335840555,2-2-8 Roppongi
10361,26,51.15,8,1329.8999999999999,2004-12-17,Shipped,Motorcycles,118,102016,Souveniers And Things Co.,Chatswood,2067,Australia,APAC,Huxley,Adrian,Small,Q4,2004,61294958555,Monitor Money Building  815 Pacific Hwy
10374,39,100.0,5,3900.0,2005-02-02,Shipped,Motorcycles,118,102016,"Australian Gift Network, Co",South Brisbane,4101,Australia,APAC,Calaghan,Tony,Medium,Q1,2005,61738446555,31 Duncan St  West End
10388,50,44.51,5,2225.5,2005-03-03,Shipped,Motorcycles,118,102016,FunGiftIdeas.com,New Bedford,50553,USA,,Benitez,Violeta,Small,Q1,2005,5085552555,1785 First Street
10402,45,100.0,1,4500.0,2005-04-07,Shipped,Motorcycles,118,102016,Auto Canal Petit,Paris,75016,France,EMEA,Perrier,Dominique,Medium,Q2,2005,147556555,25  rue Lauriston
10417,45,100.0,5,4500.0,2005-05-13,Disputed,Motorcycles,118,102016,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium,Q2,2005,915559444,  Moralzarzal  86
10107,27,100.0,4,2700.0,2003-02-24,Shipped,Motorcycles,193,104698,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Medium,Q1,2003,2125557818,897 Long Airport Avenue
10120,46,100.0,2,4600.0,2003-04-29,Shipped,Motorcycles,193,104698,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Large,Q2,2003,0395204555,636 St Kilda Road
10134,31,100.0,4,3100.0,2003-07-01,Shipped,Motorcycles,193,104698,Lyon Souveniers,Paris,75508,France,EMEA,Da Cunha,Daniel,Large,Q3,2003,33146627555,27 rue du Colonel Pierre Avia
10145,33,100.0,8,3300.0,2003-08-25,Shipped,Motorcycles,193,104698,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Medium,Q3,2003,6265557265,78934 Hillside Dr 
10159,22,100.0,16,2200.0,2003-10-10,Shipped,Motorcycles,193,104698,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Medium,Q4,2003,6505551386,7734 Strong St 
10168,20,100.0,3,2000.0,2003-10-28,Shipped,Motorcycles,193,104698,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Medium,Q4,2003,6505556809,9408 Furth Circle
10180,41,100.0,11,4100.0,2003-11-11,Shipped,Motorcycles,193,104698,Daedalus Designs Imports,Lille,59000,France,EMEA,Rance,Martine,Large,Q4,2003,20161555,184  chausse de Tournai
10188,45,100.0,3,4500.0,2003-11-18,Shipped,Motorcycles,193,104698,Herkku Gifts,Bergen,5804,Norway,EMEA,Oeztan,Veysel,Large,Q4,2003,4722673215,Drammen 121  PR 744 Sentrum
10201,49,100.0,4,4900.0,2003-12-01,Shipped,Motorcycles,193,104698,Mini Wheels Co.,San Francisco,,USA,,Murphy,Julie,Large,Q4,2003,6505555787,5557 North Pendale Street
10210,34,100.0,1,3400.0,2004-01-12,Shipped,Motorcycles,193,104698,Osaka Souveniers Co.,Osaka,5300003,Japan,JP,Kentary,Mory,Medium,Q1,2004,810663425555,Dojima Avanza 4F  1-6-20 Dojima  Kita-ku
10223,49,100.0,3,4900.0,2004-02-20,Shipped,Motorcycles,193,104698,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Large,Q1,2004,0395204555,636 St Kilda Road
10237,39,100.0,9,3900.0,2004-04-05,Shipped,Motorcycles,193,104698,Vitachrome Inc.,NYC,10022,USA,,Frick,Michael,Large,Q2,2004,2125551500,2678 Kingston Rd 
10251,43,100.0,4,4300.0,2004-05-18,Shipped,Motorcycles,193,104698,Tekni Collectables Inc.,Newark,94019,USA,,Brown,William,Large,Q2,2004,2015559350,7476 Moss Rd 
10263,41,100.0,4,4100.0,2004-06-28,Shipped,Motorcycles,193,104698,Gift Depot Inc.,Bridgewater,97562,USA,,King,Julie,Large,Q2,2004,2035552570,25593 South Bay Ln 
10275,36,100.0,3,3600.0,2004-07-23,Shipped,Motorcycles,193,104698,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Medium,Q3,2004,40678555,67  rue des Cinquante Otages
10285,27,100.0,8,2700.0,2004-08-27,Shipped,Motorcycles,193,104698,Marta's Replicas Co.,Cambridge,51247,USA,,Hernandez,Marta,Medium,Q3,2004,6175558555,39323 Spinnaker Dr 
10299,29,100.0,11,2900.0,2004-09-30,Shipped,Motorcycles,193,104698,"Toys of Finland, Co.",Helsinki,21240,Finland,EMEA,Karttunen,Matti,Medium,Q3,2004,902248555,Keskuskatu 45
10308,20,100.0,1,2000.0,2004-10-15,Shipped,Motorcycles,193,104698,Mini Classics,White Plains,24067,USA,,Frick,Steve,Medium,Q4,2004,9145554562,3758 North Pendale Street
10318,37,100.0,3,3700.0,2004-11-02,Shipped,Motorcycles,193,104698,Diecast Classics Inc.,Allentown,70267,USA,,Yu,Kyung,Large,Q4,2004,2155551555,7586 Pompton St 
10329,26,100.0,3,2600.0,2004-11-15,Shipped,Motorcycles,193,104698,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Medium,Q4,2004,2125557818,897 Long Airport Avenue
10339,39,76.67,3,2990.13,2004-11-23,Shipped,Motorcycles,193,104698,"Tokyo Collectables, Ltd",Minato-ku,1060032,Japan,JP,Shimamura,Akiko,Small,Q4,2004,81335840555,2-2-8 Roppongi
10362,22,100.0,4,2200.0,2005-01-05,Shipped,Motorcycles,193,104698,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Medium,Q1,2005,6505556809,9408 Furth Circle
10374,22,100.0,1,2200.0,2005-02-02,Shipped,Motorcycles,193,104698,"Australian Gift Network, Co",South Brisbane,4101,Australia,APAC,Calaghan,Tony,Medium,Q1,2005,61738446555,31 Duncan St  West End
10388,21,86.77,7,1822.1699999999998,2005-03-03,Shipped,Motorcycles,193,104698,FunGiftIdeas.com,New Bedford,50553,USA,,Benitez,Violeta,Small,Q1,2005,5085552555,1785 First Street
10403,66,100.0,9,6600.0,2005-04-08,Shipped,Motorcycles,193,104698,"UK Collectables, Ltd.",Liverpool,16,UK,EMEA,Devon,Elizabeth,Large,Q2,2005,1715552282,Berkeley Gardens 12  Brewery
10417,56,100.0,4,5600.0,2005-05-13,Disputed,Motorcycles,193,104698,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Large,Q2,2005,915559444,  Moralzarzal  86
10105,50,100.0,2,5000.0,2003-02-11,Shipped,Classic Cars,136,104757,Danish Wholesale Imports,Kobenhavn,1734,Denmark,EMEA,Petersen,Jytte,Large,Q1,2003,31123555,Vinb'ltet 34
10119,46,100.0,11,4600.0,2003-04-28,Shipped,Classic Cars,136,104757,Salzburg Collectables,Salzburg,5020,Austria,EMEA,Pipps,Georg,Medium,Q2,2003,65629555,Geislweg 14
10129,33,100.0,2,3300.0,2003-06-12,Shipped,Classic Cars,136,104757,"Stylish Desk Decors, Co.",London,36,UK,EMEA,Brown,Ann,Medium,Q2,2003,1715550297,35 King George
10143,49,100.0,15,4900.0,2003-08-10,Shipped,Classic Cars,136,104757,Mini Creations Ltd.,New Bedford,50553,USA,,Tam,Wing C,Medium,Q3,2003,5085559555,4575 Hillside Dr 
10155,32,100.0,13,3200.0,2003-10-06,Shipped,Classic Cars,136,104757,"Toys of Finland, Co.",Helsinki,21240,Finland,EMEA,Karttunen,Matti,Medium,Q4,2003,902248555,Keskuskatu 45
10167,44,100.0,9,4400.0,2003-10-23,Cancelled,Classic Cars,136,104757,Scandinavian Gift Ideas,Boras,84467,Sweden,EMEA,Larsson,Maria,Medium,Q4,2003,0695346555,?kergatan 24
10178,24,100.0,12,2400.0,2003-11-08,Shipped,Classic Cars,136,104757,Alpha Cognac,Toulouse,31000,France,EMEA,Roulet,Annette,Medium,Q4,2003,61776555,1 rue Alsace-Lorraine
10186,26,100.0,9,2600.0,2003-11-14,Shipped,Classic Cars,136,104757,"Double Decker Gift Stores, Ltd",London,11,UK,EMEA,Hardy,Thomas,Medium,Q4,2003,1715557555,120 Hanover Sq 
10197,45,100.0,6,4500.0,2003-11-26,Shipped,Classic Cars,136,104757,Enaco Distributors,Barcelona,8022,Spain,EMEA,Saavedra,Eduardo,Medium,Q4,2003,932034555,Rambla de Catalu¤a  23
10209,39,100.0,8,3900.0,2004-01-09,Shipped,Classic Cars,136,104757,"Men 'R' US Retailers, Ltd.",Los Angeles,,USA,,Chandler,Michael,Medium,Q1,2004,2155554369,6047 Douglas Av 
10222,49,100.0,12,4900.0,2004-02-19,Shipped,Classic Cars,136,104757,Collectable Mini Designs Co.,San Diego,91217,USA,,Thompson,Valarie,Medium,Q1,2004,7605558146,361 Furth Circle
10248,20,100.0,3,2000.0,2004-05-07,Cancelled,Classic Cars,136,104757,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Small,Q2,2004,2125557818,897 Long Airport Avenue
10261,27,100.0,1,2700.0,2004-06-17,Shipped,Classic Cars,136,104757,Quebec Home Shopping Network,Montreal,113,Canada,,Fresnisre,Jean,Medium,Q2,2004,5145558054,43 rue St  Laurent
10273,30,100.0,4,3000.0,2004-07-21,Shipped,Classic Cars,136,104757,Petit Auto,Bruxelles,1180,Belgium,EMEA,Dewey,Catherine,Medium,Q3,2004,02555467,Rue Joseph-Bens 532
10283,25,100.0,6,2500.0,2004-08-20,Shipped,Classic Cars,136,104757,"Royal Canadian Collectables, Ltd.",Tsawassen,284,Canada,,Lincoln,Elizabeth,Small,Q3,2004,6045554555,23 Tsawassen Blvd 
10295,24,100.0,1,2400.0,2004-09-10,Shipped,Classic Cars,136,104757,Gifts4AllAges.com,Boston,51003,USA,,Yoshido,Juri,Medium,Q3,2004,6175559555,8616 Spinnaker Dr 
10307,22,100.0,9,2200.0,2004-10-14,Shipped,Classic Cars,136,104757,"Classic Gift Ideas, Inc",Philadelphia,71270,USA,,Cervantes,Francisca,Small,Q4,2004,2155554695,782 First Street
10316,33,100.0,17,3300.0,2004-11-01,Shipped,Classic Cars,136,104757,giftsbymail.co.uk,Cowes,317,UK,EMEA,Bennett,Helen,Medium,Q4,2004,1985558888,Garden House Crowther Way
10325,47,64.93,6,3051.7100000000005,2004-11-05,Shipped,Classic Cars,136,104757,Baane Mini Imports,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Q4,2004,07989555,Erling Skakkes gate 78
10337,25,48.05,8,1201.25,2004-11-21,Shipped,Classic Cars,136,104757,Classic Legends Inc.,NYC,10022,USA,,Hernandez,Maria,Small,Q4,2004,2125558493,5905 Pompton St 
10350,26,75.47,5,1962.22,2004-12-02,Shipped,Classic Cars,136,104757,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Small,Q4,2004,915559444,  Moralzarzal  86
10359,48,54.68,6,2624.64,2004-12-15,Shipped,Classic Cars,136,104757,Reims Collectables,Reims,51100,France,EMEA,Henriot,Paul,Small,Q4,2004,26471555,59 rue de l'Abbaye
10373,39,100.0,3,3900.0,2005-01-31,Shipped,Classic Cars,136,104757,"Oulu Toy Supplies, Inc.",Oulu,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,Q1,2005,981443655,Torikatu 38
10384,34,100.0,4,3400.0,2005-02-23,Shipped,Classic Cars,136,104757,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Medium,Q1,2005,6505551386,7734 Strong St 
10395,32,100.0,2,3200.0,2005-03-17,Shipped,Classic Cars,136,104757,Lyon Souveniers,Paris,75508,France,EMEA,Da Cunha,Daniel,Medium,Q1,2005,33146627555,27 rue du Colonel Pierre Avia
10400,64,100.0,9,6400.0,2005-04-01,Shipped,Classic Cars,136,104757,The Sharp Gifts Warehouse,San Jose,94217,USA,,Frick,Sue,Large,Q2,2005,4085553659,3086 Ingle Ln 
10414,19,100.0,3,1900.0,2005-05-06,On Hold,Classic Cars,136,104757,Gifts4AllAges.com,Boston,51003,USA,,Yoshido,Juri,Small,Q2,2005,6175559555,8616 Spinnaker Dr 
